Effective pixels,Optical_Zoom,Weight (inc. batteries),Dimensions,Label,Model,Release date
8.0,1.0,624.0,147.0,High End,Olympus E-300,2004
7.0,1.0,616.0,140.0,High End,Olympus E-330,2006
10.0,1.0,435.0,130.0,High End,Olympus E-400,2006
10.0,1.0,435.0,130.0,High End,Olympus E-410,2007
8.0,1.0,479.0,130.0,High End,Olympus E-500,2005
10.0,1.0,490.0,136.0,High End,Olympus E-510,2007
5.0,1.0,140.0,101.0,High End,Olympus D-435,2005
3.0,1.0,170.0,101.0,High End,Olympus D-425,2005
1.0,3.0,190.0,110.0,High End,Olympus D-150Z,2001
3.0,1.0,210.0,110.0,High End,Olympus D-395,2004
1.0,1.0,280.0,128.0,High End,Olympus D-360L,2000
1.0,1.0,320.0,128.0,High End,Olympus D-340R,1999
1.0,1.0,320.0,128.0,High End,Olympus D-340L,1998
6.0,1.0,850.0,142.0,High End,Fujifilm FinePix S2 Pro,2002
3.0,2.8,270.0,87.0,High End,Olympus D-40 Zoom,2001
3.0,3.0,420.0,109.0,High End,Olympus C-3040 Zoom,2000
3.0,3.0,380.0,109.0,High End,Olympus C-3030 Zoom,2000
3.0,3.0,380.0,109.0,High End,Olympus C-3020 Zoom,2001
3.0,2.8,300.0,118.0,High End,Olympus C-300 Zoom,2002
3.0,3.0,380.0,109.0,High End,Olympus C-3000 Zoom,2000
1.0,1.0,190.0,107.0,High End,Olympus C-21,1999
1.0,1.0,230.0,108.0,High End,Olympus D-390,2003
21.0,1.0,1385.0,150.0,High End,Canon EOS-1Ds Mark III,2007
4.0,3.2,705.0,135.0,High End,Panasonic Lumix DMC-LC1,2004
3.0,3.0,215.0,96.0,High End,Panasonic Lumix DMC-LC33,2003
3.0,3.0,205.0,92.0,High End,Kyocera Finecam S3R,2003
3.0,3.0,320.0,135.0,High End,Ricoh RDC-7,2000
3.0,3.0,320.0,142.0,High End,Ricoh RDC-i500,2001
3.0,3.0,205.0,92.0,High End,Kyocera Finecam S3L,2002
3.0,2.0,160.0,30.0,High End,Kyocera Finecam S3,2001
6.0,1.0,620.0,142.0,High End,Epson R-D1,2004
12.0,1.0,895.0,152.0,High End,Canon EOS 5D,2005
10.0,1.0,822.0,146.0,High End,Canon EOS 40D,2007
3.0,3.0,185.0,91.0,High End,Sanyo Xacti DSC-S3,2004
3.0,2.8,185.0,91.0,High End,Sanyo Xacti DSC-S4,2004
10.0,1.0,556.0,127.0,High End,Canon EOS 400D / Digital Rebel XTi,2006
3.0,3.0,175.0,32.0,High End,Kyocera Finecam S3x,2002
4.0,1.0,270.0,109.0,High End,Sigma DP1,2006
8.0,1.0,540.0,127.0,High End,Canon EOS 350D / Digital Rebel XT,2005
8.0,1.0,784.0,144.0,High End,Canon EOS 30D,2006
1.0,10.0,980.0,125.0,High End,Sony Mavica CD1000,2000
1.0,3.0,620.0,144.0,High End,Sony Mavica CD200,2001
1.0,3.0,610.0,138.0,High End,Sony Mavica CD250,2002
3.0,3.0,620.0,144.0,High End,Sony Mavica CD300,2001
3.0,3.0,522.0,132.0,High End,Sony Mavica CD350,2003
3.0,3.0,640.0,138.0,High End,Sony Mavica CD400,2002
5.0,3.0,606.0,139.0,High End,Sony Mavica CD500,2003
6.0,1.0,645.0,142.0,High End,Canon EOS 300D / Digital Rebel,2003
8.0,1.0,770.0,144.0,High End,Canon EOS 20Da,2005
3.0,1.0,950.0,152.0,High End,Sigma SD10,2003
1.0,3.0,290.0,99.0,High End,Panasonic Lumix DMC-LC20,2002
3.0,3.0,175.0,32.0,High End,Kyocera Finecam S4,2002
5.0,3.0,205.0,92.0,High End,Kyocera Finecam S5R,2003
3.0,3.0,420.0,104.0,High End,Panasonic Lumix DMC-LC40,2002
4.0,3.0,215.0,96.0,High End,Panasonic Lumix DMC-LC43,2003
3.0,3.0,435.0,128.0,High End,Panasonic Lumix DMC-LC5,2001
3.0,3.0,210.0,65.0,High End,Panasonic Lumix DMC-LC50,2004
4.0,3.0,210.0,65.0,High End,Panasonic Lumix DMC-LC70,2004
4.0,3.0,207.0,88.0,High End,Panasonic Lumix DMC-LC80,2004
4.0,3.0,188.0,94.0,High End,Panasonic Lumix DMC-LS1,2005
5.0,3.0,188.0,111.0,High End,Panasonic Lumix DMC-LS2,2006
10.0,1.0,920.0,147.0,High End,Nikon D200,2005
7.0,3.0,188.0,94.0,High End,Panasonic Lumix DMC-LS75,2007
8.0,4.0,220.0,106.0,High End,Panasonic Lumix DMC-LX1,2005
5.0,3.0,205.0,92.0,High End,Kyocera Finecam S5,2002
10.0,4.0,220.0,106.0,High End,Panasonic Lumix DMC-LX2,2006
2.0,1.0,1200.0,157.0,High End,Nikon D1H,2001
6.0,1.0,780.0,144.0,High End,Nikon D100,2002
2.0,1.0,1200.0,157.0,High End,Nikon D1,1999
6.0,1.0,650.0,129.0,High End,Pentax *ist D,2003
6.0,1.0,565.0,125.0,High End,Pentax *ist DL,2005
6.0,1.0,565.0,125.0,High End,Pentax *ist DL2,2006
6.0,1.0,605.0,125.0,High End,Pentax *ist DS,2004
6.0,1.0,605.0,125.0,High End,Pentax *ist DS2,2005
10.0,1.0,793.0,142.0,High End,Pentax K10D,2006
1.0,3.1,520.0,115.0,High End,Olympus D-620L,1998
8.0,1.0,200.0,107.0,High End,Ricoh GR Digital,2005
5.0,1.0,1200.0,157.0,High End,Nikon D1X,2001
6.0,1.0,930.0,148.0,High End,Fujifilm FinePix S3 Pro,2004
